rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
readChunk_tIME,src/lodepng.rs,1793,"(info: Option<&mut LodePNGState<'_>>, data: Option<&i8>, chunk_length: usize) -> u32",yes,,readChunk_tIME,lodepng_state_cleanup
read_chunk_time,src/lodepng.rs,1805,"(info: Option<&mut LodePNGState>, data: Option<&[i8]>) -> u32",,,readChunk_pHYs,LodePNGUnknownChunks_copy
readChunk_pHYs,src/lodepng.rs,1817,"(info: Option<&mut LodePNGState<'a>>, data: Option<&[i8]>, chunkLength: usize) -> u32",yes,,readChunk_gAMA,addChunk_iCCP
readChunk_gAMA,src/lodepng.rs,1831,"(info: Option<&mut LodePNGInfo>, data: Option<&[u8]>, chunkLength: usize) -> u32",yes,,readChunk_cHRM,auto_choose_color
readChunk_cHRM,src/lodepng.rs,1844,"(info: Option<&mut LodePNGState<'_>>, data: Option<&[i8]>, chunkLength: usize) -> u32",yes,,,lodepng_state_init
readChunk_sRGB,src/lodepng.rs,1860,"(info: Option<&mut LodePNGState>, data: Option<&[i8]>) -> ()",yes,,readChunk_sRGB,lodepng_info_copy
read_chunk_sbit,src/lodepng.rs,1865,"(info: Option<&mut LodePNGInfo>, data: Option<&[u8]>, chunk_length: usize) -> u32",,,readChunk_sBIT,getTreeInflateDynamic
lodepng_color_mode_cleanup,src/lodepng.rs,1886,(info: Option<&mut LodePNGColorMode>) -> (),yes,,lodepng_color_mode_cleanup;lodepng_color_mode_copy,
lodepng_has_palette_alpha,src/lodepng.rs,1893,(info: Option<&LodePNGColorMode>) -> u32,yes,,lodepng_can_have_alpha,lodepng_clear_itext
lodepng_palette_add,src/lodepng.rs,1906,"(info: Option<&mut LodePNGColorMode>, r: u8, g: u8, b: u8, a: u8) -> u32",yes,,,lodepng_chunk_check_crc
readChunk_PLTE,src/lodepng.rs,1923,"(color: Option<&mut LodePNGColorMode>, data: Option<&[u8]>, chunkLength: usize) -> u32",yes,,readChunk_PLTE,deflateNoCompression
has_palette_alpha_stub,src/lodepng.rs,1951,(info: Option<&LodePNGInfo>) -> u32,,,lodepng_get_raw_size_lct,LodePNGUnknownChunks_cleanup
LodePNGBitWriter_init,src/lodepng.rs,1958,"(writer: Option<&mut LodePNGBitWriter>, data: Option<&mut Ucvector>) -> ()",yes,,writeBits,LodePNGBitWriter_init
